Order_ID,Order_Time,Delivery_Time,Items_Count,Substitutions,Store_Location,Fulfillment_Time_Min,Is_Delayed
1001,2026-01-01 08:12,2026-01-01 08:45,8,1,Houston,33,No
1002,2026-01-01 09:05,2026-01-01 09:50,15,3,Houston,45,Yes
1003,2026-01-01 10:22,2026-01-01 10:55,6,0,Dallas,33,No
1004,2026-01-01 11:10,2026-01-01 12:05,20,5,Austin,55,Yes
1005,2026-01-01 12:45,2026-01-01 13:20,10,2,Houston,35,No
1006,2026-01-01 13:30,2026-01-01 14:25,18,4,Dallas,55,Yes
1007,2026-01-01 14:05,2026-01-01 14:40,9,1,Austin,35,No
1008,2026-01-01 15:10,2026-01-01 16:05,22,6,Houston,55,Yes
1009,2026-01-01 16:20,2026-01-01 16:55,7,0,Dallas,35,No
1010,2026-01-01 17:15,2026-01-01 18:20,25,7,Houston,65,Yes
1011,2026-01-02 08:05,2026-01-02 08:35,5,0,Austin,30,No
1012,2026-01-02 09:40,2026-01-02 10:25,16,3,Houston,45,Yes
1013,2026-01-02 10:55,2026-01-02 11:30,11,2,Dallas,35,No
1014,2026-01-02 11:20,2026-01-02 12:15,19,5,Austin,55,Yes
1015,2026-01-02 12:30,2026-01-02 13:05,8,1,Houston,35,No
1016,2026-01-02 13:45,2026-01-02 14:35,17,4,Dallas,50,Yes
1017,2026-01-02 14:10,2026-01-02 14:45,6,0,Austin,35,No
1018,2026-01-02 15:35,2026-01-02 16:30,21,6,Houston,55,Yes
1019,2026-01-02 16:50,2026-01-02 17:25,9,1,Dallas,35,No
1020,2026-01-02 17:40,2026-01-02 18:50,24,7,Houston,70,Yes
1021,2026-01-03 08:20,2026-01-03 08:50,7,0,Austin,30,No
1022,2026-01-03 09:15,2026-01-03 10:05,14,3,Houston,50,Yes
1023,2026-01-03 10:30,2026-01-03 11:05,10,1,Dallas,35,No
1024,2026-01-03 11:45,2026-01-03 12:40,18,4,Austin,55,Yes
1025,2026-01-03 12:10,2026-01-03 12:45,6,0,Houston,35,No
1026,2026-01-03 13:25,2026-01-03 14:15,17,5,Dallas,50,Yes
1027,2026-01-03 14:50,2026-01-03 15:25,8,1,Austin,35,No
1028,2026-01-03 15:40,2026-01-03 16:35,20,6,Houston,55,Yes
1029,2026-01-03 16:55,2026-01-03 17:30,9,1,Dallas,35,No
1030,2026-01-03 17:30,2026-01-03 18:40,23,7,Houston,70,Yes
